"Are you sure do you want to clear feed view?","Are you sure do you want to clear feed view?"
"Clear Feed View","Clear Feed View"
"Are you sure do you want to clear indexing queue?","Are you sure do you want to clear indexing queue?"
"Clear Queue","Clear Queue"
Check,Check
Synchronize,Synchronize
"Product catalog is not synchronized.","Product catalog is not synchronized."
Back,Back
Delete,Delete
"Delete item?","Delete item?"
Hold,Hold
"Put On Hold?","Put On Hold?"
Unhold,Unhold
Unhold?,Unhold?
Undefined,Undefined
ID,ID
Thumbnail,Thumbnail
Name,Name
Sku,Sku
Type,Type
Price,Price
Qty,Qty
"In Salable","In Salable"
No,No
Yes,Yes
"Invalid request.","Invalid request."
"View details","View details"
"'Synchronization operation was added to queue.
                Please make sure the related cron job is configured to perform this operation. ' .","'Synchronization operation was added to queue.
                Please make sure the related cron job is configured to perform this operation. ' ."
"Something went wrong while saving this operation.","Something went wrong while saving this operation."
"Indexing error: %s","Indexing error: %s"
"Product Feed","Product Feed"
"Log View","Log View"
"Unbxd | Feed View","Unbxd | Feed View"
"This feed view no longer exists.","This feed view no longer exists."
"Feed view in 'Running' status can't be deleted.","Feed view in 'Running' status can't be deleted."
"Feed view was deleted.","Feed view was deleted."
"Something went wrong while deleting feed view.","Something went wrong while deleting feed view."
"%1 in 'Running' status can't be deleted.","%1 in 'Running' status can't be deleted."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Nothing to clear. Feed view list are empty.","Nothing to clear. Feed view list are empty."
"Feed View Details","Feed View Details"
"Unbxd | Feed View Details","Unbxd | Feed View Details"
"Indexing Queue","Indexing Queue"
View,View
"Unbxd | Indexing Queue View","Unbxd | Indexing Queue View"
"This queue item no longer exists.","This queue item no longer exists."
"Queue item in 'Running' status can't be deleted.","Queue item in 'Running' status can't be deleted."
"Queue item was deleted.","Queue item was deleted."
"Something went wrong while deleting queue item.","Something went wrong while deleting queue item."
"Nothing to clear. Queue list are empty.","Nothing to clear. Queue list are empty."
"Queue item already on 'Hold' status.","Queue item already on 'Hold' status."
"Only queue item in 'Pending' status can be put on hold.","Only queue item in 'Pending' status can be put on hold."
"You have put queue item #%1 on 'Hold' status.","You have put queue item #%1 on 'Hold' status."
"Something went wrong while saving queue item.","Something went wrong while saving queue item."
"%1 already on 'Hold' status.","%1 already on 'Hold' status."
"%1 are not in 'Pending' status.","%1 are not in 'Pending' status."
"A total of %1 record(s) have been put on 'Hold' status.","A total of %1 record(s) have been put on 'Hold' status."
"Something went wrong while saving this item.","Something went wrong while saving this item."
"%1 are not on 'Hold' status.","%1 are not on 'Hold' status."
"A total of %1 record(s) were released from on 'Hold' status.","A total of %1 record(s) were released from on 'Hold' status."
"Only queue item on 'Hold' status can be released.","Only queue item on 'Hold' status can be released."
"Queue item #%1 was released from on 'Hold' status.","Queue item #%1 was released from on 'Hold' status."
"Queue Item Details","Queue Item Details"
"Unbxd | Queue Item Details","Unbxd | Queue Item Details"
"Can't create instance of logger object. Error: %1","Can't create instance of logger object. Error: %1"
"Empty request data: log type is required.","Empty request data: log type is required."
"Can't save the cron expression: %1","Can't save the cron expression: %1"
Manually,Manually
"By Template","By Template"
"DON'T EXCLUDE","DON'T EXCLUDE"
label,label
"All AVAILABLE TYPES","All AVAILABLE TYPES"
"Please provide API credentials to perform this operation.","Please provide API credentials to perform this operation."
"API url must be set up before using API calls.","API url must be set up before using API calls."
Full,Full
Add,Add
Update,Update
Running,Running
Complete,Complete
Error,Error
Indexing,Indexing
"Feed view with id ""%1"" does not exist.","Feed view with id ""%1"" does not exist."
"Without Images","Without Images"
"Out Of Stock","Out Of Stock"
"Not Visible Individually","Not Visible Individually"
Pending,Pending
"Row Reindex","Row Reindex"
"List Reindex","List Reindex"
"Full Reindex","Full Reindex"
